source.type,source.ID,source.description,variable,var.description,Units,Gender,Min.Age,Max.Age,Form,Mean,CV
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,180,1
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.83,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.71,0
Product,AC2 ,ARTS AND CRAFTS; ARTS AND CRAFTS CLEANER ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.001,0
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,50,1
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.02,0
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC3 ,ARTS AND CRAFTS; ARTS AND CRAFTS FINISH ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.02,0
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,10,1
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,5,1
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC4 ,ARTS AND CRAFTS; ARTS AND CRAFTS FRAGRANCES ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.05,0
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,24,1
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.2,0
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.05,0
Product,AC5 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.2,0
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,10,1
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC6 ,ARTS AND CRAFTS; ARTS AND CRAFTS PAINT THINNER ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,10,1
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.02,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.02,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.02,0
Product,AC7 ,ARTS AND CRAFTS; ARTS AND CRAFTS SEALANT ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,area ,Surface area of Product Application ,m^2 ,B ,0,99,lognormal ,0.048519802,1
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,10,1
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,f.ingested ,Fraction ingested ,[-] ,B ,0,99,Lognormal ,0.5,0.2
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,255,1
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.05,0
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.4,0
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.4,0
Product,AC8 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY ADHESIVE ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.001,0
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,50,1
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.02,0
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.02,0
Product,AC9 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY FINISH ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,area ,Surface area of Product Application ,m^2 ,B ,0,99,lognormal ,0,1
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,f.ingested ,Fraction ingested ,[-] ,B ,0,99,Lognormal ,0.5,0.2
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.02,0
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.02,0
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.02,0
Product,AC10 ,ARTS AND CRAFTS; ARTS AND CRAFTS SPRAY PAINT ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,20,1
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.05,0
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC11 ,ARTS AND CRAFTS; BIKE TIRE SEALER ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,20,1
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,1,0
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,6,1
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.2,0
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC12 ,ARTS AND CRAFTS; BODY PAINT ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,50,1
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC13 ,ARTS AND CRAFTS; CANDLE-MAKING ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC14 ,ARTS AND CRAFTS; DYE ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC14 ,ARTS AND CRAFTS; DYE ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC14 ,ARTS AND CRAFTS; DYE ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC14 ,ARTS AND CRAFTS; DYE ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,50,1
Product,AC14 ,ARTS AND CRAFTS; DYE ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC14 ,ARTS AND CRAFTS; DYE ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC14 ,ARTS AND CRAFTS; DYE ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC14 ,ARTS AND CRAFTS; DYE ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,50,1
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.05,0
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC15 ,ARTS AND CRAFTS; FABRIC PAINTS AND SEALERS ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.05,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,10,1
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,20,1
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.05,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.05,0
Product,AC16 ,ARTS AND CRAFTS; FIXATIVE ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,area ,Surface area of Product Application ,m^2 ,B ,0,99,lognormal ,0.048519802,1
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,f.ingested ,Fraction ingested ,[-] ,B ,0,99,Lognormal ,0.5,0.2
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,140,1
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,3,1
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.1,0
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.1,0
Product,AC17 ,ARTS AND CRAFTS; FLOCKING ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,area ,Surface area of Product Application ,m^2 ,B ,0,99,lognormal ,0,1
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,60,1
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,f.aerosol ,Fraction of chemcial used that is airborne for inhalation ,[-] ,B ,0,99,POINT ,1,0
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,f.ingested ,Fraction ingested ,[-] ,B ,0,99,Lognormal ,0.5,0.2
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,100,1
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,1,1
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC18 ,ARTS AND CRAFTS; FOGGER ,volume ,Volume of Cloud ,m3 ,B ,0,99,normal ,48,0.5
Product,AC19 ,ARTS AND CRAFTS; GESSO ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,30,1
Product,AC19 ,ARTS AND CRAFTS; GESSO ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC19 ,ARTS AND CRAFTS; GESSO ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
Product,AC19 ,ARTS AND CRAFTS; GESSO ,mass ,Mass per use ,g ,B ,0,99,Lognormal ,100,1
Product,AC19 ,ARTS AND CRAFTS; GESSO ,use.freq ,Frequency ,1/year ,B ,0,99,lognormal ,12,1
Product,AC19 ,ARTS AND CRAFTS; GESSO ,use.prev ,Fraction of population using product ,[-] ,B ,0,12,point ,0.01,0
Product,AC19 ,ARTS AND CRAFTS; GESSO ,use.prev ,Fraction of population using product ,[-] ,M ,13,99,point ,0.01,0
Product,AC19 ,ARTS AND CRAFTS; GESSO ,use.prev ,Fraction of population using product ,[-] ,W ,13,99,point ,0.01,0
Product,AC20 ,ARTS AND CRAFTS; GLAZE ,duration ,Duration of direct exposure event ,minutes ,B ,0,99,Lognormal ,60,1
Product,AC20 ,ARTS AND CRAFTS; GLAZE ,f.contact ,Fraction of mass in contact with skin during direct use ,[-] ,B ,0,99,Point ,0.01,0
Product,AC20 ,ARTS AND CRAFTS; GLAZE ,f.residual ,Fraction of mass in contact with skin that remains after dur ,[-] ,B ,0,99,Point ,0.01,0
